Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act
1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",s
2,You mustve had your hands full.,The Interviewer,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",o
3,That I did. That I did.,Chandler,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",ag
4,So lets talk a little bit about your duties.,The Interviewer,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",s
5,My duties? All right.,Chandler,surprise,0,4,8,21,"00:16:34,452","00:16:40,917",ag
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",s
7,I see.,Chandler,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",ag
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",o
9,Good to know.,Chandler,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",s
10,We can go into detail,The Interviewer,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",o
11,No dont I beg of you!,Chandler,fear,0,10,8,21,"00:17:02,856","00:17:04,858",dag
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",o
13,Really?!,Chandler,surprise,0,12,8,21,"00:17:13,491","00:17:16,536",q
14,Absolutely. You can relax,The Interviewer,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",ans
15,But then who? The waitress I went out with last month?,Joey,surprise,1,0,9,23,"00:36:40,364","00:36:42,824",q
16,You know? Forget it!,Rachel,sadness,1,1,9,23,"00:36:44,368","00:36:46,578",o
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,1,2,9,23,"00:36:44,368","00:36:49,122",q
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,1,3,9,23,"00:36:49,290","00:36:51,791",ans
19,Ok!,Joey,neutral,1,4,9,23,"00:36:52,376","00:36:53,543",b
20,"All right, well...",Joey,neutral,1,5,9,23,"00:36:53,545","00:36:55,000",oth
23,"Yeah, sure!",Rachel,neutral,1,8,9,23,"0:36:59,425","0:37:01,439",b
24,"Hey, Mon.",Chandler,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",g
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",q
26,Do I ever.,Chandler,joy,2,2,3,6,"0:05:53,897","0:05:55,743",oth
27,Chris says theyre closing down the bar.,Monica,sadness,2,3,3,6,"0:05:57,023","0:05:58,734",s
28,No way!,Chandler,surprise,2,4,3,6,"0:05:58,734","0:05:59,774",dag
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",s
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,2,6,3,6,"00:06:02,362","00:06:07,157",q
31,Got me.,Monica,sadness,2,7,3,6,"00:06:04,489","00:06:07,157",oth
32,Can I get a beer.,Chandler,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",q
33,"Hey, did you pick a roommate?",Monica,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",q
34,You betcha!,Chandler,joy,2,10,3,6,"0:06:10,161","0:06:10,973",oth
35,Is it the Italian guy?,Monica,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",q
36,"Um-mm, yeah right!",Chandler,joy,2,12,3,6,"00:06:12,288","00:06:13,497",ans
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,3,0,3,12,"00:10:16,115","00:10:18,450",s
38,"What, what, what?!",Chandler,surprise,3,1,3,12,"0:10:18,618","0:10:19,750",q
39,What?!,Phoebe,surprise,3,2,3,12,"0:10:19,750","0:10:20,966",q
40,He was with her when he wrote this poem.,Phoebe,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",s
41,"Look, 'My vessel so empty with nothing inside.",Phoebe,neutral,3,4,3,12,"00:10:23,664","00:10:26,499",s
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",s
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,3,6,3,12,"00:10:29,754","00:10:32,672",o
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,3,8,3,12,"00:10:36,385","00:10:39,137",o
46,Done.,Joey,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",ag
47,Hey!,Rachel,surprise,4,0,3,11,"0:20:23,931","0:20:24,891",g
48,Hi!,Ross,joy,4,1,3,11,"0:20:24,891","0:20:25,028",g
49,What are you doing here?,Rachel,surprise,4,2,3,11,"00:20:25,140","00:20:26,265",q
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",s
51,Oh.,Rachel,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",b
52,Hi.,Ross,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",g
53,Hi.,Rachel,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",g
54,Howd did it go?,Ross,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",q
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,4,8,3,11,"00:20:32,397","00:20:40,446",s
56,Im so proud of you.,Ross,joy,4,9,3,11,"0:20:40,614","0:20:41,991",ap
57,Me too!,Rachel,joy,4,10,3,11,"0:20:41,991","0:20:43,543",ag
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,4,11,3,11,"00:20:44,284","00:20:53,584",ap
59,I know.,Rachel,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",ag
60,Yeah.,Ross,neutral,4,13,3,11,"0:20:54,962","0:20:55,380",b
61,Yeah.,Rachel,neutral,4,14,3,11,"0:20:55,380","0:20:56,057",b
62,Ameri-can.,Phoebe,neutral,5,0,3,15,"0:22:18,545","0:22:20,297",oth
63,Ameri-ccan.,Joey,neutral,5,1,3,15,"0:22:20,297","0:22:20,476",oth
64,Ameri-can. Y'know its a,Phoebe,neutral,5,2,3,15,"00:22:20,589","00:22:23,507",s
65,Everybody!!,Sergei,surprise,5,3,3,15,"00:22:25,844","00:22:28,679",oth
66,Good job Joe! Well done! Top notch!,Chandler,joy,6,0,8,22,"00:12:24,315","00:12:27,526",ap
67,You liked it? You really liked it?,Joey,surprise,6,1,8,22,"0:12:28,194","0:12:29,796",q
68,"Oh-ho-ho, yeah!",Chandler,joy,6,2,8,22,"0:12:29,796","0:12:31,501",ans
69,Which part exactly?,Joey,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",q
70,The whole thing! Can we go?,Chandler,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",ans
71,"Oh no-no-no, give me some specifics.",Joey,anger,6,5,8,22,"00:12:36,368","00:12:38,746",c
