TURN,UTTERANCE,DA,EMOTION
Ses03F_impro01_F000,"God, finally I got to the line, the front of the line. I've been waiting there for like half an hour.",s,xxx
Ses03F_impro01_F001,[BREATHING] It's so hot in here. Hoo.,s,xxx
Ses03F_impro01_M000,Yeah.,ag,xxx
Ses03F_impro01_M001,"Oh, um-",b,neu
Ses03F_impro01_F002,What's wrong?,q,neu
Ses03F_impro01_M002,"You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it.",ans,neu
Ses03F_impro01_F003,"No, no, no, no, no, no. The lady over there, she told me to fill out the front and she said to wait in this line.",dag,fru
Ses03F_impro01_M003,Who?,q,neu
Ses03F_impro01_F004,I don't know. Some lady. Sonya or something.,ans,fru
Ses03F_impro01_M004,She- she probably doesn't even work here.,s,neu
Ses03F_impro01_F005,"Excuse me? No, no. I waited in the line over there..",s,fru
Ses03F_impro01_M005,All right  Uh-,b,neu
Ses03F_impro01_F006,and she told me to come over here and she said to fill out everything on the application and I did that.,s,fru
Ses03F_impro01_M006,It's not right.,s,fru
Ses03F_impro01_F007,"Look, I-- No, no, no, I--you don't understand. I have to go back to work.",s,fru
Ses03F_impro01_M007,You just take--all right.,b,fru
Ses03F_impro01_M008,"Well, you didn't fill this paper at work out right and it's going to take another fifteen minutes to do it and look at how long the line we got here so just-",s,fru
Ses03F_impro01_F008,I am not-,s,fru
Ses03F_impro01_M009,"okay, just go back and fill it out real quick and I'm sorry, you have to get back in line and wait. I can't let you cut.",c,fru
Ses03F_impro01_F009,But you don't understand. I cannot get back in line because I have to go back to work. I will get fired if I don't leave here.,dag,fru
Ses03F_impro01_M010,"Well, maybe you should have got here earlier than so you had a lot of time to do this.",o,xxx
Ses03F_impro01_F010,But I was at work and the lady told me to come and work it and to stand in the line.,s,xxx
Ses03F_impro01_M011,I don't know who this lady is.,s,xxx
Ses03F_impro01_F011,[LAUGHTER],oth,fru
Ses03F_impro02_F006,"I really want to say that. Well I, so, you know, at the center department they called me in and I talked to-",s,xxx
Ses03F_impro02_M002,"Oh, yeah? What did they say?",q,xxx
Ses03F_impro02_F007,Well umm- actually they--I was promoted.,ans,exc
Ses03F_impro02_M003,"Oh, wow. That's great.",o,xxx
Ses03F_impro02_F008,And Uh- Yeah. Uh- They're going to need um- more nurses on call for uh- to go overseas to help out with the war.,s,sad
Ses03F_impro02_F009,"And uh - seeing as I was uh- promoted and head of the department now, and so- well, they asked me to go.",s,xxx
Ses03F_impro02_F010,yeah.,b,sad
Ses03F_impro02_M004,when?,q,sur
Ses03F_impro02_F011,It's going- It's going to be probably in about three weeks.,ans,sad
Ses03F_impro02_M005,What? You can't do that. Three weeks?,q,sur
Ses03F_impro02_F012,yeah,b,sad
Ses03F_impro02_F013,"Well, I'm leaving in three weeks, but-- Yeah.",ans,xxx
Ses03F_impro02_M006,"God, we're supposed to take a look at a house next week.",s,fru
Ses03F_impro02_F014,Maybe we can still do that,o,fru
Ses03F_impro02_M007,"I can't- No, I can't do this alone.",o,ang
Ses03F_impro02_F015,"Yeah, and uh--",b,sad
Ses03F_impro02_M008,Amy's starting school in a month.,s,xxx
Ses03F_impro02_F016,"I know, but look, I have to take this. I mean, if I don't, I mean, I could get fired.",o,fru
Ses03F_impro02_F017,And we know you need-we need the money. We couldn't even- purchase a house if I didn't take this.,o,fru
Ses03F_impro02_M009,God.,oth,fru
Ses03F_impro02_M010,You know what happened to my cousin. She went and she never came back.,s,fru
Ses03F_impro02_F018,"Honey, I'm going to come back. It's not like that.",o,sad
Ses03F_impro02_F019,But it- it is for a year.,s,sad
Ses03F_impro02_M011,Oh,dag,fru
Ses03F_impro02_F020,"Babe, I'm sorry. But I don't want to do.",ap,sad
Ses03F_impro02_M012,I can't-,s,fru
Ses03F_impro02_F021,"You know as much as -as much as me that I-I want to stay here with you and Amy so bad, but I can't.",o,sad
Ses03F_impro02_M013,You remember the last time you went? You know how hard it was for me? Now we have a kid.,s,xxx
Ses03F_impro02_F022,"But you're so good with her. You know, she knows you better than she knows me 'cause I'm at work every day.",o,fru
Ses03F_impro02_M014,I have to work.,s,sad
Ses03F_impro02_M015,[BREATHING],oth,fru
Ses03F_impro02_F023,"Babe, I love you.",o,sad
Ses03F_impro02_M016,You can't leave your daughter alone like this.,o,sad
Ses03F_impro02_F024,"But she has you. I mean, that's what you're there for. You're my right-hand man.",o,sad
Ses03F_impro02_F025,It's going to be okay.,o,sad
Ses03F_impro02_M017,You can't postpone it?,q,sad
Ses03F_impro02_F026,"No, I have to go.",ans,sad
Ses03F_impro02_F027,"Wait, you can write me and as you know, send me pictures.",s,sad
Ses03F_impro02_M018,I don't know if I can handle you going another year.,o,sad
Ses03F_impro02_F028,What do you mean?,q,sad
Ses03F_impro02_M019,I don't know if I- if I could take it.,ans,sad
Ses03F_impro02_F029,"Look, I need you to be strong for me. 'Cause I can't be the only one that's strong right now, really, I--",o,sad
Ses03F_impro02_M020,I can't be that strong. A whole year.,dag,sad
Ses03F_impro02_M021,"me, oh my god.",b,sad
Ses03F_impro02_F030,"But we can work, you know, we--you can write me and we could see pictures",s,xxx
Ses03F_impro02_M022,What if you don't come back?,q,fru
